melanoma,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
melanoma,PPIF,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)",5.58,0.9,Kd,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@@H](C)CN2CCN(CCOC)CC2)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C,50030493,1.0,Kd,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(CC)C(=O)[C@@H](C)N(C)C1=O)C(C)C,50339127,3.1,Kd,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)(C)O)N(C)C(=O)[C@H](SCCN(C)C)N(C)C1=O)C(C)C,50323721
melanoma,BRD9,Q9H8M2,Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8),5.49,0.75,Kd,COc1cc(cc(OC)c1CN(C)C)-c1cn(C)c(=O)c2cnccc12,50183448,2.0,Kd,CCn1cc(-c2cccc(c2)C(F)(F)F)c2sc(cc2c1=O)C(=N)NC1CCS(=O)(=O)CC1,50147620,5.9,Kd,COc1cc(c(OC)cc1CN(C)C)-c1cn(C)c(=O)c2cnccc12,50183449
melanoma,CDK9,P50750,Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit),5.45,0.005,IC50,COc1ccc(F)cc1-c1cc(NC(=O)COc2ccc(Cl)cn2)ncn1,120943,0.015,IC50,COc1ccc(F)cc1-c1cc(NC(=O)Cc2cccnc2)ncn1,120941,0.018000000000000002,IC50,COc1ccc(F)cc1-c1cc(NC(=O)C2CCCNC2)ncn1,120934
melanoma,PSEN2,P49810,Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit],5.3,1.0,IC50,CS(=O)(=O)CC[C@@H]1OCC[C@@]2([C@H]1COc1c(F)ccc(F)c21)S(=O)(=O)c1ccc(Cl)cc1,50393452,2.0,IC50,CCS(=O)(=O)CC[C@@H]1OCC[C@@]2([C@H]1COc1c(F)ccc(F)c21)S(=O)(=O)c1ccc(Cl)cc1,50393453,3.0,IC50,CC(C)S(=O)(=O)CC[C@@H]1OCC[C@@]2([C@H]1COc1c(F)ccc(F)c21)S(=O)(=O)c1ccc(Cl)cc1,50393454
melanoma,TYMS,P04818,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),5.18,0.040999999999999995,Ki,Nc1nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)cc2c(=O)[nH]1,50405732,0.042,Ki,Nc1nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)cc2c(=O)[nH]1,50405733,0.07200000000000001,Ki,Nc1nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)cc2c(=O)[nH]1,50405731
melanoma,ADAM10,O14672,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),5.09,6.2,IC50,Cc1ccccc1C1CCN(CC1)S(=O)(=O)CC1(CCN(CC1)C(=O)OC1CCCC1O)C(=O)NO,50229655,6.5,IC50,Cc1cc(ccc1C1CCN(CC1)S(=O)(=O)CC1(CCN(CC1)C(=O)OC[C@@H]1CCCN1)C(=O)NO)C#N,50229651,7.1,IC50,ONC(=O)C1(CS(=O)(=O)N2CCC(=CC2)c2ccccc2)CCN(CC1)C(=O)O[C@H]1CCOC1,50229639
melanoma,FKBP1A,P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase),5.03,0.01,Ki,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,23334,0.2,Kd,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,50030448,0.2,Kd,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,50030448
melanoma,PCTK1,Q00536,Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1),5.0,0.54,Kd,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(CC2)S(C)(=O)=O)nc1N,12621,1.1,Kd,Clc1cccc(Cl)c1C(=O)Nc1cn[nH]c1C(=O)NC1CCNCC1,24654,7.1,Kd,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,5931
melanoma,PKN1,Q16512,Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N),5.0,1.0,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,1.2,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,1.3,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
melanoma,EIF4A1,P60842,Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1),4.98,0.2,EC50,COC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(cc3OC)C(=O)OC,50397421,0.5,IC50,CONC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC,50388144,0.6,EC50,COc1ccc(cc1)[C@@]12Oc3cc(Cl)cc(OC)c3[C@]1(O)[C@H](O)[C@@H]([C@H]2c1ccccc1)C(=O)N(C)C,50397420
melanoma,AHCY,P23526,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase),4.87,0.5,Ki,Nc1ncnc2n(cnc12)C(OC(=C)C=O)C=O,50240434,1.3,IC50,Nc1ncc(F)c2n(cnc12)[C@@H]1CC[C@@H](O)[C@H]1O,50018507,1.5,IC50,Nc1ncnc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,50006222
melanoma,PLAUR,Q03405,Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87),4.77,1.0,Ki,Nc1c(cc(-c2ccccc2)n1-c1ccncc1)-c1nc2ccccc2[nH]1,50402366,1.1,Ki,Nc1c(cc(-c2ccccc2)n1-c1ccc(Br)cc1)-c1nc2ccccc2[nH]1,50402364,1.2,Ki,Nc1c(cc(-c2ccccc2)n1-c1cccc(Br)c1)-c1nc2ccccc2[nH]1,50402365
melanoma,STAT6,P42226,Signal transducer and activator of transcription 6 (IL-4 Stat),4.74,0.7,IC50,NC(=O)c1cnc(Nc2ccc(cc2)N2CCOCC2)nc1NCc1c(F)cc(F)cc1F,50243934,0.7,IC50,NC(=O)c1cnc(Nc2ccc(cc2)N2CCOCC2)nc1NCc1c(F)ccc(F)c1F,50304425,1.4,IC50,NC(=O)c1cnc(Nc2ccc(cc2)N2CCOCC2)nc1NCc1ccccc1F,50244291
melanoma,MMP11,P24347,Stromelysin-3 (SL-3) (ST3) (EC 3.4.24.-) (Matrix metalloproteinase-11) (MMP-11),4.7,0.23,Ki,COc1ccccc1SC[C@H](CP(O)(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,50265077,5.0,Ki,NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCc1ccccc1)CP(O)(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,50138684,5.0,Ki,NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCc1ccccc1)CP(O)(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,50393211
melanoma,CSNK2A1,P68400,Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1),4.64,0.00025,Kd,CN(CCN)c1ccc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)cc1NC(C)=O,50172243,0.13,IC50,Cc1nc(Nc2nc(Nc3ccc4n(C)nc(C#N)c4c3)nn3c(cnc23)[N+]#[C-])nn1C,142829,0.14,IC50,COC(=O)N[C@@H]1CCN(C[C@@H]1F)c1cc(cc(Nc2nc(NC3CC3)c3ncc(C#N)n3n2)c1Cl)C#N,142817
melanoma,BMPR2,Q13873,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II),4.63,,,,,,,,,,,,
melanoma,DYRK1B,Q9Y463,Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase),4.56,0.24,IC50,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,50434358,0.24,IC50,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,50434356,0.28,IC50,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,50434353
melanoma,CALM1,P0DP23,Calmodulin-1,4.42,1.0,Kd,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(O)=O,50045365,10.0,Kd,O=S(=O)(Nc1cccc(NS(=O)(=O)c2cccc3ccccc23)c1)c1cccc2ccccc12,59172,,,,
melanoma,DAPK3,O43293,Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase),4.41,1.0,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,1.0,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,1.0,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
melanoma,CDC2,P06493,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),4.37,0.1,IC50,NS(=O)(=O)c1ccc(Nc2ncc(c(Nc3ccc4nc[nH]c4c3)n2)C(F)(F)F)cc1,50164702,0.23,IC50,O=C1Cc2c([nH]c3ccc(cc23)N(=O)=O)-c2cc(CCC#N)ccc2N1,84533,0.49,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
melanoma,PDPK1,O15530,3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1),4.34,0.6,Ki,CC(C)n1cc(C(=O)c2cncc(N[C@@H]3CCC[C@@H]3c3ccc(F)cc3)n2)c2c(N)ncnc12,50361648,0.6,Ki,CC(C)n1cc(C(=O)c2cncc(N[C@@H]3COC[C@@H]3c3ccc(F)cc3)n2)c2c(N)ncnc12,50361649,0.630957,IC50,C[C@@H]1C[C@H](CN(C1)c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1)N(C)C(=O)CC(C)(C)C,50341250
melanoma,TRA1,P14625,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog),4.28,4.0,Ki,CCNC(=O)c1noc(c1-c1ccc(CN2CCOCC2)cc1)-c1cc(C(C)C)c(O)cc1O,20926,5.0,Ki,CO[C@H]1C[C@H](C)Cc2c(O)c(NC(=O)C(C)=CC=C[C@@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)cc(O)c2N=CCN(C)C,50445479,,,,
melanoma,HPGD,P15428,15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH) (EC 1.1.1.141) (Prostaglandin dehydrogenase 1) (Short chain dehydrogenase/reductase family 36C member 1),4.17,4.0,IC50,Brc1cc(\C=C2/SC(=O)NC2=O)ccc1OCCc1ccccc1,50066953,6.6,IC50,OC1=NC(=O)C(S1)=Cc1ccc(OCCC2CCCCC2)c(Br)c1,50347953,7.2,IC50,OC1=NC(=O)C(S1)=Cc1ccc(OCCC2CCCCC2)c(Cl)c1,50347952
melanoma,DCPS,Q96C86,m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS),4.16,7.62,IC50,Nc1nc(N)c2c(OCC3CCN(Cc4ccccc4F)CC3)cccc2n1,50232538,9.38,IC50,Cn1ccnc1CN1CCC(COc2cccc3nc(N)nc(N)c23)CC1,36533,,,,
melanoma,CDC42BPA,Q5VT25,Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha),4.12,5.9,Ki,CCCC(=O)O[C@@]12C(C3CC(=O)C[C@@]4(O)C(C=C(C)C4=O)[C@]3(O)[C@@H](C)[C@H]1OC(=O)c1ccccc1NC)C2(C)C,92596,,,,,,,,
melanoma,CTSD,P07339,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],4.06,0.00143,Ki,CC(C)(C)OC(=O)NN(CC(=O)N(Cc1ccccc1)Cc1ccccc1)C#N,50030745,0.0042,Ki,CN(Cc1ccccc1)C(=O)CN(NC(=O)OC(C)(C)C)C#N,50030746,0.01,Ki,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(O)=O,912
melanoma,PKN2,Q16513,Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2),4.05,1.8,Kd,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,50308060,1.8,Kd,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,50308060,2.2,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
melanoma,SLC29A1,Q99808,"Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)",4.0,0.018000000000000002,Ki,O[C@@H]1[C@@H](CSCCNC(=O)CCCCCNC(=O)c2cccc(I)c2)O[C@H]([C@@H]1O)n1cnc2c(NCc3ccc(cc3)[N+]([O-])=O)ncnc12,50301066,0.064,Ki,O[C@@H]1[C@@H](CSCCNC(=O)CCCCCNC(=O)c2ccc(F)cc2)O[C@H]([C@@H]1O)n1cnc2c(NCc3ccc(cc3)[N+]([O-])=O)ncnc12,50301067,0.26,Kd,O[C@@H]1[C@@H](CSCCNC(=O)CCCCCNC(=O)c2ccc3c(c2)C(=O)OC32C3=C(CC(=O)CC3)Oc3cc(O)ccc23)O[C@H]([C@@H]1O)n1cnc2c(NCc3ccc(cc3)[N+]([O-])=O)ncnc12,50301068
